College Name,Fee,Exam,Rating,Img,Address
"National Law School of India University - [NLSIU], Bangalore","₹ 151,635","₹ 115,000", 8.8 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/25621_NLSIU.jpg?h=300&w=250&mode=stretch," Bangalore, Karnataka"
"National Law University - [NLU], New Delhi","₹ 13,000","₹ 138,000", 8.8 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/25465_NLAWD.jpg?h=300&w=250&mode=stretch," New Delhi, Delhi NCR"
"Parul University, Vadodara","₹ 125,000","₹ 60,000", 8.1 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1488973535e1.jpg?h=300&w=250&mode=stretch," Vadodara, Gujarat"
"NALSAR University of Law - [NALSAR], Hyderabad","₹ 720,000","₹ 20,500", 8.8 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/14849807071443081628WNBUNEW.jpg?h=300&w=250&mode=stretch," Hyderabad, Telangana"
"IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur","₹ 163,900","₹ 123,900", 8.6 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1573639088Admin.jpg?h=300&w=250&mode=stretch," Kharagpur, West Bengal"
"The West Bengal National University of Juridical Sciences - [NUJS], Kolkata","₹ 36,000","₹ 241,800", 8.5 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1512620241TFSDTFSFGDHGFVDHSDFYDSFSFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF.jpg?h=300&w=250&mode=stretch," Kolkata, West Bengal"
"National Law University - [NLU], Jodhpur","₹ 199,000","₹ 259,000", 8.4 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/9127_SLS_New.jpg?h=300&w=250&mode=stretch," Jodhpur, Rajasthan"
"Mody University, Sikar","₹ 134,500","₹ 224,000", 8.7 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1628340683slide33.jpg?h=300&w=250&mode=stretch," Sikar, Rajasthan"
"Symbiosis Law School - [SLS], Pune","₹ 165,000","₹ 6,500", 8.5 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/14927612211443511758LAWJMINEW.jpg?h=300&w=250&mode=stretch," Pune, Maharashtra"
"Woxsen University, Hyderabad","₹ 435,000","₹ 435,000", 8.2 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/25489_GNLU_App.jpg?h=300&w=250&mode=stretch," Hyderabad, Telangana"
"Faculty of Law Jamia Millia Islamia University, New Delhi","₹ 10,400","₹ 8,700", 8.2 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/25791_JIKj.jpg?h=300&w=250&mode=stretch," New Delhi, Delhi NCR"
"Gujarat National Law University - [GNLU], Gandhinagar","₹ 186,000","₹ 186,000", 8.3 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/25686_NLIU.jpg?h=300&w=250&mode=stretch," Gandhinagar, Gujarat"
"Rajiv Gandhi National University of Law - [RGNUL], Patiala","₹ 27,000","₹ 176,000", 7.7 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/14878534504.jpg?h=300&w=250&mode=stretch," Patiala, Punjab"
"National Law Institute University - [NLIU], Bhopal","₹ 149,500","₹ 189,500", 8.4 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1491634960cvr.png?h=300&w=250&mode=stretch," Bhopal, Madhya Pradesh"
"Kalinga Institute of Industrial Technology - [KIIT], Bhubaneswar","₹ 279,000","₹ 225,000", 8.5 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1497598014259362.jpg?h=300&w=250&mode=stretch," Bhubaneswar, Orissa"
"Indian Law Institute - [ILI], New Delhi","₹ 29,500","₹ 7,500", 7.6 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/8717_DBR_APP.jpg?h=300&w=250&mode=stretch," New Delhi, Delhi NCR"
"Dr Ram Manohar Lohiya National Law University - [RMLNLU], Lucknow","₹ 42,800","₹ 79,000", 7.5 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1492426534AppNew.jpg?h=300&w=250&mode=stretch," Lucknow, Uttar Pradesh"
"Andhra University, Dr. B. R. Ambedkar College of law, Visakhapatnam","₹ 10,000","₹ 30,000", 8.5 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/28274_FOL_New.jpg?h=300&w=250&mode=stretch," Visakhapatnam, Andhra Pradesh"
"Faculty of Law, University of Delhi, New Delhi","₹ 5,428","₹ 5,729", 7.3 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/8791_ILSLC_App.jpg?h=300&w=250&mode=stretch," New Delhi, Delhi NCR"
"Faculty of Law, Banaras Hindu University, Varanasi","₹ 60,000","₹ 2,206", 7.3 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/8639_law.jpg?h=300&w=250&mode=stretch," Varanasi, Uttar Pradesh"
"ILS Law College - [ILS], Pune","₹ 65,320","₹ 17,600", 7.3 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/56475_cvr new1252.jpg?h=300&w=250&mode=stretch," Pune, Maharashtra"
